iter	Passed	Remaining
415	2518	3536
416	2523	3528
417	2528	3519
418	2532	3511
419	2537	3504
420	2541	3495
421	2546	3487
422	2551	3480
423	2556	3472
424	2560	3464
425	2565	3457
426	2570	3449
427	2574	3441
428	2579	3433
429	2583	3425
430	2588	3417
431	2592	3409
432	2597	3401
433	2602	3393
434	2607	3386
435	2612	3378
436	2616	3370
437	2620	3362
438	2625	3355
439	2630	3348
440	2635	3340
441	2640	3332
442	2644	3325
443	2649	3317
444	2654	3311
445	2659	3303
446	2663	3295
447	2668	3288
448	2673	3280
449	2678	3273
450	2682	3265
451	2688	3259
452	2692	3251
453	2697	3244
454	2702	3236
455	2706	3229
456	2711	3221
457	2716	3214
458	2721	3207
459	2725	3200
460	2730	3192
461	2734	3184
462	2739	3177
463	2744	3169
464	2748	3162
465	2753	3155
466	2758	3148
467	2762	3140
468	2767	3133
469	2771	3125
470	2776	3118
471	2781	3111
472	2786	3104
473	2791	3097
474	2795	3089
475	2800	3082
476	2804	3075
477	2809	3067
478	2813	3060
479	2818	3053
480	2823	3046
481	2828	3039
482	2832	3032
483	2837	3025
484	2842	3018
485	2847	3011
486	2852	3005
487	2858	2998
488	2862	2991
489	2867	2984
490	2871	2977
491	2876	2970
492	2881	2962
493	2886	2956
494	2890	2949
495	2896	2942
496	2901	2936
497	2906	2929
498	2911	2923
499	2916	2916
500	2921	2909
501	2926	2903
502	2931	2896
503	2937	2890
504	2942	2884
505	2947	2877
506	2951	2870
507	2956	2863
508	2962	2857
509	2966	2850
510	2971	2843
511	2976	2836
512	2981	2830
513	2985	2823
514	2990	2816
515	2995	2809
516	2999	2802
517	3004	2796
518	3009	2789
519	3014	2782
520	3019	2775
521	3023	2768
522	3028	2762
523	3033	2755
524	3037	2748
525	3042	2741
526	3047	2734
527	3052	2728
528	3056	2721
529	3061	2715
530	3065	2707
531	3070	2701
532	3075	2694
533	3079	2687
534	3084	2680
535	3089	2674
536	3093	2667
537	3098	2660
538	3103	2654
539	3108	2647
540	3112	2641
541	3117	2634
542	3122	2628
543	3127	2621
544	3132	2615
545	3137	2608
546	3142	2602
547	3147	2596
548	3153	2590
549	3158	2584
550	3163	2577
551	3168	2571
552	3173	2565
553	3177	2558
554	3181	2551
555	3186	2544
556	3191	2538
557	3195	2531
558	3200	2524
559	3205	2518
560	3210	2512
561	3215	2505
562	3219	2499
563	3224	2492
564	3229	2486
565	3234	2479
566	3238	2473
567	3243	2466
568	3248	2460
569	3253	2454
570	3257	2447
571	3262	2441
572	3266	2434
573	3271	2427
574	3275	2421
575	3280	2414
576	3285	2408
577	3290	2402
578	3294	2395
579	3299	2388
580	3303	2382
581	3308	2375
582	3312	2369
583	3317	2363
584	3322	2356
585	3326	2350
586	3331	2344
587	3336	2337
588	3340	2331
589	3345	2324
590	3349	2318
591	3354	2311
592	3358	2305
593	3363	2298
594	3367	2292
595	3372	2286
596	3376	2279
597	3381	2273
598	3386	2266
599	3390	2260
600	3395	2253
601	3399	2247
602	3404	2241
603	3409	2235
604	3414	2229
605	3419	2223
606	3423	2216
607	3429	2211
608	3433	2204
609	3438	2198
610	3443	2192
611	3447	2185
612	3452	2179
613	3457	2173
614	3462	2167
615	3466	2161
616	3471	2154
617	3475	2148
618	3480	2142
619	3485	2136
620	3489	2129
621	3493	2123
622	3498	2116
623	3503	2110
624	3507	2104
625	3512	2098
626	3516	2092
627	3521	2085
628	3525	2079
629	3530	2073
630	3535	2067
631	3540	2061
632	3544	2055
633	3549	2049
634	3554	2043
635	3559	2037
636	3564	2031
637	3568	2024
638	3573	2018
639	3577	2012
640	3582	2006
641	3587	2000
642	3592	1994
643	3597	1988
644	3602	1982
645	3607	1976
646	3611	1970
647	3616	1964
648	3621	1958
649	3626	1952
650	3631	1946
651	3636	1941
652	3641	1935
653	3646	1928
654	3650	1923
655	3655	1916
656	3660	1910
657	3665	1905
658	3670	1899
659	3677	1894
660	3683	1888
661	3688	1883
662	3694	1877
663	3699	1872
664	3705	1866
665	3710	1860
666	3715	1854
667	3720	1849
668	3725	1843
669	3731	1837
670	3735	1831
671	3740	1825
672	3745	1819
673	3750	1813
674	3754	1807
675	3759	1801
676	3764	1795
677	3768	1789
678	3773	1783
679	3777	1777
680	3782	1771
681	3787	1765
682	3791	1759
683	3796	1753
684	3801	1748
685	3806	1742
686	3810	1736
687	3815	1730
688	3820	1724
689	3826	1719
690	3831	1713
691	3835	1707
692	3840	1701
693	3846	1695
694	3852	1690
695	3856	1684
696	3861	1678
697	3866	1672
698	3871	1667
699	3876	1661
700	3881	1655
701	3886	1649
702	3891	1644
703	3895	1638
704	3900	1632
705	3904	1626
706	3909	1620
707	3915	1614
708	3920	1609
709	3924	1602
710	3928	1596
711	3933	1591
712	3937	1585
713	3942	1579
714	3947	1573
715	3951	1567
716	3956	1561
717	3960	1555
718	3965	1549
719	3970	1543
720	3974	1538
721	3979	1532
722	3984	1526
723	3989	1520
724	3993	1514
725	3998	1509
726	4003	1503
727	4008	1497
728	4012	1491
729	4017	1485
730	4022	1480
731	4026	1474
732	4030	1468
733	4035	1462
734	4041	1457
735	4045	1451
736	4050	1445
737	4055	1439
738	4060	1434
739	4065	1428
740	4069	1422
741	4074	1416
742	4078	1410
743	4083	1405
744	4088	1399
745	4092	1393
746	4097	1387
747	4103	1382
748	4107	1376
749	4112	1370
750	4117	1365
751	4121	1359
752	4126	1353
753	4131	1347
754	4135	1342
755	4140	1336
756	4145	1330
757	4150	1325
758	4155	1319
759	4159	1313
760	4164	1307
761	4169	1302
762	4173	1296
763	4178	1290
764	4182	1284
765	4187	1279
766	4192	1273
767	4197	1267
768	4201	1262
769	4206	1256
770	4211	1251
771	4216	1245
772	4221	1239
773	4227	1234
774	4231	1228
775	4236	1222
776	4241	1217
777	4246	1211
778	4251	1206
779	4255	1200
780	4260	1194
781	4265	1189
782	4269	1183
783	4274	1177
784	4279	1172
785	4284	1166
786	4288	1160
787	4293	1155
788	4297	1149
789	4302	1143
790	4307	1138
791	4311	1132
792	4316	1126
793	4320	1120
794	4325	1115
795	4329	1109
796	4334	1104
797	4338	1098
798	4343	1092
799	4348	1087
800	4353	1081
801	4357	1075
802	4362	1070
803	4367	1064
804	4371	1058
805	4375	1053
806	4380	1047
807	4385	1042
808	4389	1036
809	4394	1030
810	4398	1025
811	4403	1019
812	4408	1013
813	4412	1008
814	4417	1002
815	4421	997
816	4426	991
817	4431	986
818	4436	980
819	4441	975
820	4446	969
821	4451	963
822	4455	958
823	4460	952
824	4465	947
825	4469	941
826	4474	935
827	4478	930
828	4483	924
829	4489	919
830	4493	913
831	4498	908
832	4503	902
833	4507	897
834	4512	891
835	4516	886
836	4521	880
837	4525	874
838	4530	869
839	4535	863
840	4539	858
841	4544	852
842	4548	847
843	4554	841
844	4559	836
845	4563	830
846	4568	825
847	4572	819
848	4577	814
849	4581	808
850	4586	803
851	4591	797
